patch_name,R_mean,G_mean,B_mean,R_median,G_median,B_median
patch_023.png,196,190,66,196,190,66
patch_024.png,191,186,67,191,186,67
patch_025.png,238,163,7,238,163,7
patch_026.png,77,89,39,77,89,39
patch_027.png,115,119,68,115,119,68
patch_028.png,184,156,21,184,156,21
patch_029.png,237,210,71,237,210,71
