patch_name,R_mean,G_mean,B_mean,R_median,G_median,B_median
patch_037.png,69,145,107,69,145,107
patch_038.png,115,153,104,115,153,104
patch_039.png,150,166,104,150,166,104
patch_040.png,173,191,105,173,191,105
patch_041.png,197,217,120,197,217,120
patch_042.png,209,229,140,209,229,140
