patch_name,R_mean,G_mean,B_mean,R_median,G_median,B_median
patch_010.png,109,52,84,109,52,84
patch_011.png,148,80,105,148,80,105
patch_012.png,203,114,106,203,114,106
patch_013.png,218,135,127,218,135,127
patch_014.png,234,154,147,234,154,147
patch_015.png,241,174,147,241,174,147
