patch_name,R_mean,G_mean,B_mean,R_median,G_median,B_median
patch_016.png,216,181,17,216,181,17
patch_017.png,162,155,38,162,155,38
patch_018.png,147,128,7,147,128,7
patch_019.png,133,137,76,133,137,76
patch_020.png,115,119,68,115,119,68
patch_021.png,77,89,39,77,89,39
patch_022.png,16,67,48,16,67,48
