patch_name,R_mean,G_mean,B_mean,R_median,G_median,B_median
patch_052.png,173,159,185,173,159,185
patch_053.png,231,198,217,231,198,217
patch_054.png,218,212,196,218,212,196
patch_055.png,232,221,201,232,221,201
patch_056.png,239,235,198,239,235,198
